Unidade;Disciplina;Código da disciplina;Turma;Quantidade de alunos;Dia da semana;Horário de início;Horário de término;Data de início;Data de término
VET;ESTATÍSTICA APLICADA À MED. VETERINÁRIA;-;-;90;Quarta;08:10;10:00;1/07/2016;11/07/2016
FAFICH;ESTATÍSTICA APLICADA À PSICOLOGIA;-;-;105;Quarta;07:30;09:10;1/07/2016;11/07/2016
FAFICH;ESTATÍSTICA APLICADA À PSICOLOGIA;-;-;105;Sexta;07:30;09:10;1/07/2016;11/07/2016
FACE;ESTATÍSTICA ECONÔMICA II;-;-;100;Quinta;09:20;11:00;1/07/2016;11/07/2016
FACE;ESTATÍSTICA ECONÔMICA II;-;-;100;Terca;09:20;11:00;1/07/2016;11/07/2016
FACE;ESTATÍSTICA I;-;E;90;Quinta;20:50;22:30;1/07/2016;11/07/2016
FACE;ESTATÍSTICA I;-;E;100;Terca;20:50;22:30;1/07/2016;11/07/2016
FACE;ESTATÍSTICA II;-;E;90;Quinta;19:00;20:40;1/07/2016;11/07/2016
FACE;ESTATÍSTICA II;-;E;90;Terca;19:00;20:40;1/07/2016;11/07/2016
FACE;ESTRATÉGIA E PLANEJAMENTO II;-;-;90;Quinta;09:20;11:00;1/07/2016;11/07/2016
FACE;ESTRATÉGIA E PLANEJAMENTO II;-;-;90;Terca;09:20;11:00;1/07/2016;11/07/2016
ENG;ESTRUTURAS DE PONTES;-;-;63;Quinta;09:25;11:05;1/07/2016;11/07/2016
ENG;ESTRUTURAS DE PONTES;-;-;63;Terca;09:25;11:05;1/07/2016;11/07/2016
FALE;ESTUDO TEMÁTICO DO BACHARELADO EM EDIÇÃO: HISTÓRIA DO LIVRO;-;-;50;Quinta;13:30;17:10;1/07/2016;11/07/2016
FAFICH;ESTUDOS DE JORNALISMO;-;NX;63;Terca;19:00;22:30;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LÍNGUA DO TEXTO E DO DISCURSO: O DISCURSO DA IMAGEM;-;-;50;Quinta;20:50;22:30;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LÍNGUA DO TEXTO E DO DISCURSO: O DISCURSO DA IMAGEM;-;-;50;Terca;20:50;22:30;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LÍNGUA E LINGUÍSTICA INGLESA: INTRODUÇÃO AOS ESTUDOS DA LI;-;-;100;Quinta;19:00;20:40;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LÍNGUA E LINGUÍSTICA INGLESA: INTRODUÇÃO AOS ESTUDOS DA LI;-;-;100;Terca;19:00;20:40;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LINGUÍSTICA TEÓRICA E DESCRITIVA;-;-;50;Quarta;07:30;09:10;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LINGUÍSTICA TEÓRICA E DESCRITIVA;-;-;50;Segunda;07:30;09:10;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LITERATURA BRASILEIRA: A FICÇÃO DE GUIMARÃES ROSA;-;-;50;Quarta;20:50;22:30;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LITERATURA BRASILEIRA: A FICÇÃO DE GUIMARÃES ROSA;-;-;50;Segunda;20:50;22:30;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LITERATURA BRASILEIRA: A POESIA BRASILEIRA CONTEMPORÂNEA;-;-;50;Quarta;19:00;20:40;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LITERATURA BRASILEIRA: A POESIA BRASILEIRA CONTEMPORÂNEA;-;-;50;Segunda;19:00;20:40;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LITERATURA BRASILEIRA: MEMÓRIA, AUTOBIOGRAFIA E TESTEMUNHO NO CINE..;-;-;50;Sexta;19:00;22:30;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LITERATURA BRASILEIRA: O ROMANCE DE 1930;-;-;50;Segunda;19:00;20:40;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LITERATURA BRASILEIRA: O ROMANCE DE 1931;-;-;50;Quarta;19:00;20:40;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LITERATURA ESTRANGEIRA EM LÍNGUA PORTUGUESA;-;-;50;Quinta;09:20;11:00;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LITERATURA ESTRANGEIRA EM LÍNGUA PORTUGUESA;-;-;50;Terca;09:20;11:00;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LITERATURA ESTRANGEIRA EM LÍNGUA PORTUGUESA: EIXOS TEMÁTICOS DA LIT.;-;-;50;Quinta;19:00;20:40;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS DE LITERATURA ESTRANGEIRA EM LÍNGUA PORTUGUESA: EIXOS TEMÁTICOS DA LIT.;-;-;50;Terca;19:00;20:40;1/07/2016;11/07/2016
FALE;Estudos Temáticos de Literaturas Hispânicas: Literatura Andina Peruana Contemporânea;-;-;100;Sexta;16:00;19:00;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS EM LITERATURA E OUTRAS ARTES;-;-;50;Quinta;09:20;11:00;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS EM LITERATURA E OUTRAS ARTES;-;-;50;Terca;09:20;11:00;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS EM TEORIA DA LITERATURA: AS CIDADES NA LITERATURA DE CHICO B...;-;-;50;Quarta;20:50;22:30;1/07/2016;11/07/2016
FALE;ESTUDOS TEMÁTICOS EM TEORIA DA LITERATURA: AS CIDADES NA LITERATURA DE CHICO B...;-;-;50;Segunda;20:50;22:30;1/07/2016;11/07/2016
FAFICH;EXPERIÊNCIA ELEMENTAR II;-;-;63;Quinta;13:00;16:30;1/07/2016;11/07/2016
ICB;FARMACOLOGIA EXPERIMENTAL;-;R;50;Terca;10:50;12:30;1/07/2016;11/07/2016
ENG;FENÔMENOS DE TRANSPORTE;-;A;45;Quinta;14:55;17:25;1/07/2016;11/07/2016
FALE;FILOLOGIA ROMÂNICA: FORMAÇÃO HISTÓRICA DAS LÍNGUAS ROMÂNICAS;-;-;50;Quarta;19:00;20:40;1/07/2016;11/07/2016
FALE;FILOLOGIA ROMÂNICA: FORMAÇÃO HISTÓRICA DAS LÍNGUAS ROMÂNICAS;-;-;50;Segunda;19:00;20:40;1/07/2016;11/07/2016
ECI;FONTES INFORM. PEQUIS. PROFISSIONAIS;-;-;40;Quinta;07:30;11:10;1/07/2016;11/07/2016
ECI;FORMAÇÃO E DESENVOLVIMENTO DO ACERVO;-;-;40;Quarta;07:30;11:10;1/07/2016;11/07/2016
FALE;FRANCÊS BI - 1º;-;8;30;Quarta;17:00;18:40;1/07/2016;11/07/2016
FALE;FRANCÊS BI - 1º;-;8;30;Segunda;17:00;18:40;1/07/2016;11/07/2016
FALE;FRANCÊS BI - 2º;-;7;30;Segunda;17:00;18:40;1/07/2016;11/07/2016
FALE;FRANCÊS BI - 2º;-;8;30;Quarta;17:00;18:40;1/07/2016;11/07/2016
FALE;FRANCÊS PARA FINS ACADÊMICOS;-;-;30;Quinta;11:30;13:00;1/07/2016;11/07/2016
FALE;FRANCÊS PARA FINS ACADÊMICOS;-;-;30;Terca;11:30;13:00;1/07/2016;11/07/2016
ECI;FUND. DA ORGANIZAÇÃO DA INFORMAÇÃO;-;-;45;Quarta;14:00;17:40;1/07/2016;11/07/2016
ECI;FUND. DA ORGANIZAÇÃO DA INFORMAÇÃO;-;-;50;Quinta;19:00;22:30;1/07/2016;11/07/2016
ECI;FUND. DA ORGANIZAÇÃO DA INFORMAÇÃO;-;-;57;Quarta;19:00;22:30;1/07/2016;11/07/2016
EBA;FUND. DO ENSINO DA ARTE I E II;-;-;30;Quarta;13:30;17:30;1/07/2016;11/07/2016
EBA;FUNDAMENTOS CIENTÍFICOS DA RESTAURAÇÃO;-;-;30;Quarta;08:00;12:00;1/07/2016;11/07/2016
FAFICH;FUNDAMENTOS DA ANÁLISE SOCIOLÓGICA;-;-;105;Quarta;07:30;11:00;1/07/2016;11/07/2016
